Totally Radio 70s,http://playerservices.streamtheworld.com/api/livestream-redirect/T_RAD_70S_S01.mp3
GotRadio The 80s,http://cdn.gotradio.com/itunes/retro_80s.pls
RADIO ANNI 80,http://nr11.newradio.it:9208/stream
SomaFM: Underground 80s,http://api.somafm.com/u80s.pls
Easy 80s,http://procyon.shoutca.st:8032/
Eurodance 90,http://eurodance90stream.ddns.net/
90s HITS,http://stream.zeno.fm/etd6kax1xv8uv
VIRAGE RADIO ROCK 90,http://vir-wr01.ice.infomaniak.ch/vir-wr01.mp3
70 80 90 VIBRAZIONI ROCK,https://maggie.torontocast.com:2020/stream/vibrazionirockradio
Italo Radio FM,https://italodancefm.radioca.st/;
Capital Jazz Radio,http://stream.radio.co/s7c1ea5960/listen
Jazzrockfusion,https://jazzrockfusion.stream.laut.fm/jazzrockfusion
Radio Caroline,http://sc8.radiocaroline.net/;
Kind Of Blue,/freigabe/Miles Davis/Kind Of Blue/
Tonband,/freigabe/record
